自治体名,自治体コード,施設名,ふりがな,住所,管理担当連絡先,指定緊急避難場所との重複指定,福祉避難所,想定収容人数,緯度（度：世界測地系）,経度(度：世界測地系）
大田原市,9210,金田南中学校,かねだみなみちゅうがっこう,大田原市南金丸1870-4,287233112,1,,278,36.85616389,140.0885167
大田原市,9210,金田北地区公民館,かねだきたちくこうみんかん,大田原市市野沢1988-1,287232100,1,,88,36.89419167,140.0513944
大田原市,9210,金田南地区公民館,かねだみなみちくこうみんかん,大田原市南金丸1870-5,287232100,1,,249,36.85494722,140.0901306
大田原市,9210,親園小学校,ちかそのしょうがっこう,大田原市親園618,287233112,1,,292,36.82412222,140.0201
大田原市,9210,親園中学校,ちかそのちゅうがっこう,大田原市花園1-87,287233112,1,,506,36.82915528,140.0293306
大田原市,9210,宇田川小学校,うだかわしょうがっこう,大田原市親園1973,287233112,1,,300,36.83096667,140.0511639
大田原市,9210,親園農村環境改善センター,ちかそののうそんかんきょうかいぜんせんたー,大田原市親園1973,287232100,1,,,36.82348279,140.0429051
大田原市,9210,薄葉小学校,うすばしょうがっこう,大田原市薄葉2014,287233112,1,,300,36.83001667,139.9729917
大田原市,9210,野崎中学校,のざきちゅうがっこう,大田原市薄葉2250,287233112,1,,295,36.83814694,139.9617222
大田原市,9210,石上小学校,いしがみしょうがっこう,大田原市上石上1528,287233112,1,,449,36.85608914,139.9482984
大田原市,9210,野崎研修センター,のざきけんしゅうせんたー,大田原市野崎2-26-2,287232100,1,,87,36.84576569,139.9578576
大田原市,9210,旧佐久山中学校,きゅうさくやまちゅうがっこう,大田原市佐久山4427-107,287238795,1,,304,36.79546667,140.0358889
大田原市,9210,旧福原小学校,きゅうふくわらしょうがっこう,大田原市福原1132,287238795,1,,300,36.80093611,140.0533861
大田原市,9210,ふれあいの丘,ふれあいのおか,大田原市福原1411-22,287232100,1,,355,36.79782222,140.0520889
大田原市,9210,佐久山地区公民館,さくやまちくこうみんかん,大田原市佐久山2287-1,287232100,1,,84,36.80231111,140.0145639
大田原市,9210,佐良土小学校,さらどしょうがっこう,大田原市佐良土901-3,287233112,1,,309,36.78991389,140.1228389
大田原市,9210,蛭田小学校,ひるたしょうがっこう,大田原市蛭田1720,287233112,1,,319,36.80912222,140.0830667
大田原市,9210,湯津上小学校,ゆづかみしょうがっこう,大田原市湯津上1156,287233112,1,,313,36.82396667,140.1246861
大田原市,9210,湯津上中学校,ゆづかみちゅうがっこう,大田原市5-573,287233112,1,,620,36.80663056,140.1112639
大田原市,9210,湯津上支所,ゆづかみししょ,大田原市5-1081,287982111,1,,184,36.818175,140.1067333
大田原市,9210,湯津上農村環境改善センター,ゆづかみのうそんかんきょうかいぜんせんたー,大田原市湯津上5-776,287232100,1,,465,36.81954722,140.1070889
大田原市,9210,佐良土西コミュニティセンター,さらどにしこみゅにてぃせんたー,大田原市佐良土1207,,1,,46,36.79257739,140.1108096
大田原市,9210,佐良土多目的交流センター,さらどたもくてきこうりゅうせんたー,大田原市佐良土853,287238708,1,,50,36.78675278,140.125525
大田原市,9210,蛭畑公民館,ひるはたこうみんかん,大田原市蛭畑868-2,,1,,67,36.80153889,140.1010667
大田原市,9210,品川センター,しながわせんたー,大田原市蛭畑1981-23,,1,,77,36.81444139,140.0890583
大田原市,9210,新宿公民館,あらじゅくこうみんかん,大田原市新宿587-1,,1,,29,36.81108057,140.0722071
大田原市,9210,片府田生活センター,かたふたせいかつせんたー,大田原市片府田346,,1,,87,36.81397194,140.0647056
大田原市,9210,黒羽中学校,くろばねちゅうがっこう,大田原市北野上3597-1,287233112,1,,1340,36.88514722,140.1391083
大田原市,9210,前田集会所,まえたしゅうかいじょ,大田原市前田221,,1,,38,36.86518056,140.1292861
大田原市,9210,黒羽体育館,くろばねたいいくかん,大田原市前田1020,287228017,1,,981,36.86754444,140.1260167
大田原市,9210,黒羽高等学校,くろばねこうとうがっこう,大田原市前田780,286233372,1,,977,36.86418469,140.1411153
大田原市,9210,堀之内集会所,ほりのうちしゅうかいじょ,大田原市堀之内87,,1,,40,36.87041667,140.1313917
大田原市,9210,北滝公会堂,きたたきこうかいどう,大田原市北滝593,,1,,49,36.82468889,140.13395
大田原市,9210,黒羽・川西地区公民館,くろばね・かわにしちくこうみんかん,大田原市黒羽田町848,287232100,1,,164,36.85969626,140.1250997
大田原市,9210,片田集会所,かたたしゅうかいじょ,大田原市片田572,,1,,59,36.81062778,140.1361472
大田原市,9210,亀久公民館,かめひさこうみんかん,大田原市亀久822,,1,,48,36.80877795,140.1567142
大田原市,9210,矢倉地区活性化施設,やぐらちくかっせいかしせつ,大田原市矢倉144,,1,,24,36.79147648,140.1389119
大田原市,9210,旧川西中学校,きゅうかわにしちゅうがっこう,大田原市黒羽向町1555,287238795,1,,334,36.87249444,140.1180389
大田原市,9210,築地集会所,ついじしゅうかいじょ,大田原市黒羽向町761-3,,1,,44,36.868886,140.1136131
大田原市,9210,奥澤公民館,おくさわこうみんかん,大田原市黒羽向町1329,,1,,28,36.87418633,140.1233142
大田原市,9210,黒羽商工会,くろばねしょうこうかい,大田原市黒羽向町112,287540568,1,,80,36.85978476,140.1208133
大田原市,9210,川西高齢者ほほえみセンター,かわにしこうれいしゃほほえみせんたー,大田原市黒羽向町409-1,287238740,1,,48,36.86172,140.115509
大田原市,9210,川西小学校,かわにししょうがっこう,大田原市黒羽向町618,287233112,1,,827,36.86435278,140.1137556
大田原市,9210,大豆田公民館,おおまめだこうみんかん,大田原市大豆田413,,1,,26,36.85359167,140.1199639
大田原市,9210,余瀬多目的集会所,よぜたもくてきしゅうかいじょ,大田原市余瀬434,,1,,51,36.86910833,140.1025028
大田原市,9210,旧蜂巣小学校,きゅうはちすしょうがっこう,大田原市蜂巣295,287238795,1,,119,36.88016917,140.1088056
大田原市,9210,蜂巣集落センター,はちすしゅうらくせんたー,大田原市蜂巣127-1,,1,,58,36.87646111,140.1065056
大田原市,9210,篠原公民館,しのはらこうみんかん,大田原市蜂巣730,,1,,18,36.8841275,140.096525
大田原市,9210,桧木沢集落センター,ひのきざわしゅうらくせんたー,大田原市桧木沢804,,1,,51,36.89123333,140.1106611
大田原市,9210,寒井本郷集会所,さぶいほんごうしゅうかいじょ,大田原市寒井838,,1,,57,36.90969039,140.1228157
大田原市,9210,寒井南部公民館,さぶいなんぶこうみんかん,大田原市寒井245,,1,,22,36.89879722,140.1181694
大田原市,9210,寒井北部公民館,さぶいほくぶこうみんかん,大田原市寒井1643,,1,,23,36.91909174,140.1127152
大田原市,9210,旧寒井小学校,きゅうさぶいしょうがっこう,大田原市寒井244-35,287238795,1,,272,36.90278611,140.115475
大田原市,9210,両郷中央小学校,りょうごうちゅうおうしょうがっこう,大田原市中野内809,287233112,1,,300,36.91541361,140.1581611
大田原市,9210,旧両郷中学校,きゅうりょうごうちゅうがっこう,大田原市中野内580,287238795,1,,197,36.90967778,140.1527278
大田原市,9210,両郷地区コミュニティセンター,りょうごうちくこみゅにてぃせんたー,大田原市中野内773,287232100,1,,65,36.91520278,140.1557222
大田原市,9210,中野内公民館,なかのうちこうみんかん,大田原市中野内2123,,1,,46,36.91263583,140.155725
大田原市,9210,両郷集会所,りょうごうしゅうかいじょ,大田原市両郷1421,,1,,46,36.93869227,140.1739213
大田原市,9210,寺宿集会所,てらじゅくしゅうかいじょ,大田原市寺宿170,,1,,46,36.91113889,140.1684472
大田原市,9210,木佐美集会所,きざみしゅうかいじょ,大田原市木佐美287,,1,,34,36.90628857,140.1739199
大田原市,9210,大久保集会所,おおくぼしゅうかいじょ,大田原市大久保365,,1,,37,36.90406389,140.1635833
大田原市,9210,久野又集会所,くのまたしゅうかいじょ,大田原市久野又249-2,,1,,37,36.89209694,140.1504417
大田原市,9210,交流促進センター若杉山荘,こうりゅうそくしんせんたーわかすぎさんそう,大田原市大輪675-22,287238126,1,,65,36.8824525,140.1343167
大田原市,9210,大輪集会所,おおわしゅうかいじょ,大田原市大輪250,,1,,54,36.8871877,140.1274151
大田原市,9210,川田公民館,かわだこうみんかん,大田原市川田143,,1,,41,36.91234972,140.1307361
大田原市,9210,旧須佐木小学校,きゅうすさぎしょうがっこう,大田原市須佐木540,287238795,1,,267,36.83714972,140.1945444
大田原市,9210,須佐木中組公民館,すさぎなかぐみこうみんかん,大田原市須佐木750,,1,,52,36.83587999,140.1944186
大田原市,9210,須佐木多目的集会所,すさぎたもくてきしゅうかいじょ,大田原市須佐木930,,1,,46,36.82967929,140.1942183
大田原市,9210,川上健康増進センター,かわかみけんこうぞうしんせんたー,大田原市川上183-1,287238126,1,,319,36.87906667,140.2211444
大田原市,9210,南方第1公民館,なんぼうだいいちこうみんかん,大田原市南方332,,1,,32,36.88586111,140.2214083
大田原市,9210,須賀川集会所,すかがわしゅうかいじょ,大田原市須賀川1841,,1,,23,36.81664444,140.2494472
大田原市,9210,須賀川下組会館,すかがわしもぐみかいかん,大田原市須賀川931,,1,,82,36.79984722,140.2571028
宇都宮市,92011,中央小学校,チュウオウショウガッコウ,栃木県宇都宮市中央本町１-29,028-635-3043,1,1,,36.55925966,139.8847723
宇都宮市,92011,中央地域コミュニティセンター,チュウオウチイキコミュニティセンター,栃木県宇都宮市中央本町１-29,028-633-9312,,1,,36.55925677,139.884884
宇都宮市,92011,東小学校,ヒガシショウガッコウ,栃木県宇都宮市東塙田１-6-14,028-622-2282,1,1,,36.56521382,139.8911201
宇都宮市,92011,西小学校,ニシショウガッコウ,栃木県宇都宮市西1-2-13,028-634-6129,1,1,,36.55970415,139.8782732
宇都宮市,92011,簗瀬小学校,ヤナセショウガッコウ,栃木県宇都宮市南大通り2-6-6,028-633-0363,1,1,,36.55458094,139.8934885
宇都宮市,92011,西原小学校,ニシハラショウガッコウ,栃木県宇都宮市西原2-5-42,028-634-4401,1,1,,36.5540811,139.872789
宇都宮市,92011,戸祭小学校,トマツリショウガッコウ,栃木県宇都宮市戸祭1-10-25,028-622-6244,1,1,,36.57295688,139.8670094
宇都宮市,92011,今泉小学校,イマイズミショウガッコウ,栃木県宇都宮市元今泉1-7-29,028-635-1215,1,1,,36.56125263,139.9030389
宇都宮市,92011,昭和小学校,ショウワショウガッコウ,栃木県宇都宮市戸祭元町１-15,028-622-3868,1,1,,36.56897748,139.8825774
宇都宮市,92011,陽南小学校,ヨウナンショウガッコウ,栃木県宇都宮市大和１-10-15,028-658-1280,1,1,,36.53411141,139.8637595
宇都宮市,92011,桜小学校,サクラショウガッコウ,栃木県宇都宮市桜3-2-22,028-634-4481,1,1,,36.56320438,139.8684133
宇都宮市,92011,錦小学校,ニシキショウガッコウ,栃木県宇都宮市錦2-7-15,028-621-0444,1,1,,36.57211883,139.8951773
宇都宮市,92011,細谷小学校,ホソヤショウガッコウ,栃木県宇都宮市細谷1-4-38,028-624-6023,1,1,,36.59046565,139.8559611
宇都宮市,92011,峰小学校,ミネショウガッコウ,栃木県宇都宮市峰3-20-17,028-633-3973,1,1,,36.55265453,139.9197986
宇都宮市,92011,石井小学校,イシイショウガッコウ,栃木県宇都宮市石井町1213,028-661-3003,1,1,,36.54036116,139.9298924
宇都宮市,92011,富士見小学校,フジミショウガッコウ,栃木県宇都宮市鶴田町2708-3,028-633-4549,,1,,36.55389218,139.8634481
宇都宮市,92011,泉が丘小学校,イズミガオカショウガッコウ,栃木県宇都宮市泉が丘７-12-14,028-661-2255,1,1,,36.56703576,139.9202399
宇都宮市,92011,緑が丘小学校,ミドリガオカショウガッコウ,栃木県宇都宮市緑3-3-12,028-658-2600,1,1,,36.52226383,139.8597564
宇都宮市,92011,宮の原小学校,ミヤノハラショウガッコウ,栃木県宇都宮市宮原4-1-14,028-633-1505,1,1,,36.54272534,139.8736699
宇都宮市,92011,御幸小学校,ミユキショウガッコウ,栃木県宇都宮市御幸本町4638-１,028-662-3268,1,1,,36.57612544,139.9257522
宇都宮市,92011,御幸が原小学校,ミユキガハラショウガッコウ,栃木県宇都宮市御幸ケ原町53-2,028-662-3268,,1,,36.59448993,139.9290146
宇都宮市,92011,陽東小学校,ヨウトウショウガッコウ,栃木県宇都宮市陽東2-16-36,028-661-2100,,1,,36.5529939,139.9265004
宇都宮市,92011,陽光小学校,ヨウコウショウガッコウ,栃木県宇都宮市緑5-3-16,028-658-8650,,1,,36.51792139,139.8617612
宇都宮市,92011,西が岡小学校,ニシガオカショウガッコウ,栃木県宇都宮市宝木町2-1075-12,028-624-1081,,1,,36.59611501,139.8443786
宇都宮市,92011,上戸祭小学校,カミトマツリショウガッコウ,栃木県宇都宮市上戸祭町271-１,028-624-6615,,1,,36.59072553,139.8673691
宇都宮市,92011,一条中学校,イチジョウチュウガッコウ,栃木県宇都宮市京町9-25,028-633-0401,1,1,,36.5533438,139.879917
宇都宮市,92011,陽北中学校,ヨウホクチュウガッコウ,栃木県宇都宮市今泉町47-2,028-621-8491,1,1,,36.5717141,139.8987697
宇都宮市,92011,旭中学校,アサヒチュウガッコウ,栃木県宇都宮市天神１-１-42,028-634-9177,1,1,,36.55584307,139.8886676
宇都宮市,92011,陽南中学校,ヨウナンチュウガッコウ,栃木県宇都宮市陽南2-4-58,028-658-1293,1,1,,36.53530472,139.8761225
宇都宮市,92011,陽西中学校,ヨウサイチュウガッコウ,栃木県宇都宮市陽西町１-16,028-622-2328,1,1,,36.57345654,139.8589568
宇都宮市,92011,陽東中学校,ヨウトウチュウガッコウ,栃木県宇都宮市石井町2800-42,028-662-9105,1,1,,36.54453307,139.9288664
宇都宮市,92011,宮の原中学校,ミヤノハラショウガッコウ,栃木県宇都宮市鶴田町261-3,028-648-2226,,1,,36.54564105,139.8550941
宇都宮市,92011,星が丘中学校,ホシガオカチュウガッコウ,栃木県宇都宮市星が丘2-3-31,028-622-6542,1,1,,36.56993047,139.8749965
宇都宮市,92011,泉が丘中学校,イズミガオカチュウガッコウ,栃木県宇都宮市泉が丘4-11-40,028-661-2508,1,1,,36.56704985,139.9189202
宇都宮市,92011,宝木中学校,タカラギチュウガッコウ,栃木県宇都宮市細谷町604,028-621-3959,,1,,36.59589225,139.8483431
宇都宮市,92011,西市民活動センター,ニシシミンカツドウセンター,栃木県宇都宮市西一の沢町17-32,028-648-8241,,1,,36.56769546,139.8614854
宇都宮市,92011,南市民活動センター,ミナミシミンカツドウセンター,栃木県宇都宮市江曽島2-4-23,028-645-0006,,1,,36.52315493,139.8646122
宇都宮市,92011,陽光地域コミュニティセンター,ヨウコウチイキコミュニティセンター,栃木県宇都宮市緑5-8-8,028-658-3373,,1,,36.51637256,139.8626584
宇都宮市,92011,東市民活動センター,ヒガシシミンカツドウセンター,栃木県宇都宮市中今泉3-5-1,028-638-5784,,1,,36.56855587,139.908855
宇都宮市,92011,宇都宮市体育館,ウツノミヤシタイイクカン,栃木県宇都宮市元今泉5-6-18,028-663-1611,,1,,36.56128982,139.9109365
宇都宮市,92011,明保野体育館,アケボノタイイクカン,栃木県宇都宮市明保野町7-9,028-632-6831,,1,,36.54833077,139.867942
宇都宮市,92011,東地域コミュニティセンター,ヒガシチイキコミュニティセンター,栃木県宇都宮市東塙田1-6-14,028-624-0554,,1,,36.56565066,139.8916826
宇都宮市,92011,西地域コミュニティセンター,ニシチイキコミュニティセンター,栃木県宇都宮市西1-2-13,028-635-7141,,1,,36.5602639,139.8782381
宇都宮市,92011,簗瀬地域コミュニティセンター,ヤナセチイキコミュニティセンター,栃木県宇都宮市南大通り2-6-6,028-635-7132,,1,,36.55454521,139.8928909
宇都宮市,92011,西原地域コミュニティセンター,ニシハラチイキコミュニティセンター,栃木県宇都宮市西原2-5-42,028-635-7139,,1,,36.55449038,139.8723864
宇都宮市,92011,昭和地域コミュニティセンター,ショウワチイキコミュニティセンター,栃木県宇都宮市戸祭町3043-１,028-624-0508,,1,,36.57717093,139.8748128
宇都宮市,92011,錦地域コミュニティセンター,ニシキチイキコミュニティセンター,栃木県宇都宮市今泉町143-6,028-624-8682,,1,,36.5681326,139.8991301
宇都宮市,92011,宮の原地域コミュニティセンター,ミヤノハラコミュニティセンター,栃木県宇都宮市宮原4-1-14,028-635-8533,1,1,,36.54209796,139.8728427
宇都宮市,92011,峰地域コミュニティセンター,ミネチイキコミュニティセンター,栃木県宇都宮市峰3-20-17,028-635-7133,,1,,36.55238537,139.9193168
宇都宮市,92011,泉が丘地域コミュニティセンター,イズミガオカチイキコミュニティセンター,栃木県宇都宮市泉が丘７-12-14,028-662-4821,,1,,36.56736077,139.9201987
宇都宮市,92011,石井地域コミュニティセンター,イシイコミュニティセンター,栃木県宇都宮市石井町1213,028-662-6833,1,1,,36.540478,139.929034
宇都宮市,92011,御幸地域コミュニティセンター,ミユキチイキコミュニティセンター,栃木県宇都宮市御幸本町4638-１,028-663-2901,,1,,36.57643645,139.9259259
宇都宮市,92011,城東地域コミュニティセンター,ジョウトウチイキコミュニティセンター,栃木県宇都宮市城東2-23-1,028-635-8041,,1,,36.54911764,139.9040643
宇都宮市,92011,陽東地域コミュニティセンター,ヨウトウチイキコミュニティセンター,栃木県宇都宮市陽東2-16-36,028-662-6269,,1,,36.5529939,139.9265004
宇都宮市,92011,御幸が原地域コミュニティセンター,ミユキガハラチイキコミュニティセンター,栃木県宇都宮市御幸ヶ原53-2,028-663-3870,,1,,36.59407587,139.929408
宇都宮市,92011,富士見地域コミュニティセンター,フジミチイキコミュニティセンター,栃木県宇都宮市鶴田町2708-3,028-635-7841,,1,,36.55389218,139.8634481
宇都宮市,92011,明保地域コミュニティセンター,メイホチイキコミュニティセンター,栃木県宇都宮市鶴田町3668-36,028-648-7253,,1,,36.56873428,139.8389656
宇都宮市,92011,陽南地域コミュニティセンター,ヨウナンチイキコミュニティセンター,栃木県宇都宮市大和１-10-15,028-658-8271,,1,,36.53341825,139.8642606
宇都宮市,92011,戸祭地域コミュニティセンター,トマツリチイキコミュニティセンター,栃木県宇都宮市戸祭１-10-25,028-624-0632,,1,,36.51637256,139.8626584
宇都宮市,92011,宝木地域コミュニティセンター,タカラギチイキコミュニティセンター,栃木県宇都宮市駒生町3364-29,028-624-0531,,1,,36.57298345,139.8671472
宇都宮市,92011,細谷・上戸祭地域コミュニティセンター,ホソヤチイキコミュニティセンター,栃木県宇都宮市細谷1-4-38,028-621-7882,,1,,36.58282274,139.8493354
宇都宮市,92011,今泉地域コミュニティセンター,イマイズミチイキコミュニティセンター,栃木県宇都宮市元今泉１-７-29,028-639-6066,,1,,36.5613896,139.9036993
宇都宮市,92011,桜地域コミュニティセンター,サクラチイキコミュニティセンター,栃木県宇都宮市桜3-2-22,028-636-2007,,1,,36.56284551,139.8683943
宇都宮市,92011,緑ヶ丘地域コミュニティセンター,ミドリガオカチイキコミュニティセンター,栃木県宇都宮市緑3丁目5番3号 ,028-645-0126,,1,,36.52131008,139.8585173
宇都宮市,92011,五代若松原地域コミュニティセンター,ゴダイワカマツハラチイキコミュニティセンター,栃木県宇都宮市若松原3-19-27,028-653-6767,,1,,36.50002746,139.8631001
宇都宮市,92011,平石中央小学校,ヒライシチュウオウショウガッコウ,栃木県宇都宮市下平出町479,028-661-0309,1,1,,36.55449705,139.9456946
宇都宮市,92011,平石北小学校,ヒライシキタショウガッコウ,栃木県宇都宮市平出町1804-2,028-661-0647,1,1,,36.5759378,139.9516204
宇都宮市,92011,鬼怒中学校,キヌチュウガッコウ,栃木県宇都宮市平出町3764-10,028-661-6337,1,1,,36.57439974,139.9390786
宇都宮市,92011,平石地区市民センター,ヒライシチクシミンセンター,栃木県宇都宮市下平出町158-１,028-660-1964,1,1,,36.55899,139.945959
宇都宮市,92011,清原中央小学校,キヨハラチュウオウショウガッコウ,栃木県宇都宮市道場宿町848,028-667-0106,1,1,,36.56272885,139.9764918
宇都宮市,92011,清原南小学校,キヨハラミナミショウガッコウ,栃木県宇都宮市上籠谷町1401,028-667-0516,1,1,,36.52429964,139.9665569
宇都宮市,92011,清原北小学校,キヨハラキタショウガッコウ,栃木県宇都宮市板戸町1765,028-667-0780,1,1,,36.59564667,139.9804618
宇都宮市,92011,清原中学校,キヨハラチュウガッコウ,栃木県宇都宮市鐺山町231,028-667-0101,1,1,,36.54154422,139.9729637
宇都宮市,92011,清原地区市民センター,キヨハラチクシミンセンター,栃木県宇都宮市清原工業団地15-4,028-667-5696,1,1,,36.54661296,139.9822258
宇都宮市,92011,横川東小学校,ヨコカワヒガシショウガッコウ,栃木県宇都宮市下栗町963,028-656-1031,1,1,,36.53303137,139.9060531
宇都宮市,92011,横川西小学校,ヨコカワニシショウガッコウ,栃木県宇都宮市上横田町850,028-658-2679,1,1,,36.52312755,139.8779237
宇都宮市,92011,横川中学校,ヨコカワチュウガッコウ,栃木県宇都宮市屋板町143,028-656-2441,,1,,36.51935511,139.9037718
宇都宮市,92011,横川地区市民センター,ヨコカワチクシミンセンター,栃木県宇都宮市屋板町576-１,028-656-1009,,1,,36.51677034,139.8989629
宇都宮市,92011,サンアビリティーズ,サンアビリティーズ,栃木県宇都宮市 屋板町251-１,028-656-1458,,1,,36.52155036,139.8939973
宇都宮市,92011,瑞穂野北小学校,ミズホノキタショウガッコウ,栃木県宇都宮市下桑島町465,028-656-1587,,1,,36.50810664,139.9426839
宇都宮市,92011,瑞穂野南小学校,ミズホノミナミショウガッコウ,栃木県宇都宮市西刑部町444,028-656-1589,,1,,36.49228121,139.9403363
宇都宮市,92011,瑞穂台小学校,ミズホダイショウガッコウ,栃木県宇都宮市瑞穂１-22,028-656-4645,1,1,,36.5113771,139.9220572
宇都宮市,92011,瑞穂野中学校,ミズホノチュウガッコウ,栃木県宇都宮市下桑島町1078,028-656-1586,1,1,,36.50717354,139.9300532
宇都宮市,92011,瑞穂野地区市民センター,ミズホノチクシミンセンター,栃木県宇都宮市下桑島町1030-１,028-656-1580,,1,,36.50667638,139.9322783
宇都宮市,92011,海道小学校,カイドウショウガッコウ,栃木県宇都宮市海道町35-1,028-661-6620,,1,,36.59964115,139.9244387
宇都宮市,92011,豊郷南小学校,トヨサトミナミショウガッコウ,栃木県宇都宮市竹林町532,028-621-0443,,1,,36.58003599,139.907864
宇都宮市,92011,豊郷北小学校,トヨサトキタショウガッコウ,栃木県宇都宮市横山町411-3,028-665-0205,,1,,36.61805814,139.8805639
宇都宮市,92011,豊郷中学校,トヨサトチュウガッコウ,栃木県宇都宮市関堀町350,028-624-8201,1,1,,36.60035645,139.8973157
宇都宮市,92011,豊郷地区市民センター,トヨサトチクシミンセンター,栃木県宇都宮市岩曽町825-１,028-660-2340,1,1,,36.5878157,139.9029704
宇都宮市,92011,国本中央小学校,クニモトチュウオウショウガッコウ,栃木県宇都宮市宝木本町1864-１,028-665-0900,,1,,36.61426159,139.8392395
宇都宮市,92011,国本西小学校,クニモトニシショウガッコウ,栃木県宇都宮市新里町丁292,028-652-1186,1,1,,36.62553913,139.8222024
宇都宮市,92011,国本中学校,クニモトチュウガッコウ,栃木県宇都宮市 新里町丁1608-19,028-665-1146,,1,,36.61628225,139.8380368
宇都宮市,92011,城山中央小学校,シロヤマチュウオウショウガッコウ,栃木県宇都宮市大谷町1402,028-652-0036,,1,,36.59387429,139.8135641
宇都宮市,92011,明保小学校,メイホショウガッコウ,栃木県宇都宮市下荒針町3456-2,028-648-2200,1,1,,36.56870942,139.8387412
宇都宮市,92011,城山西小学校,シロヤマニシショウガッコウ,栃木県宇都宮市古賀志町583,028-652-0800,,1,,36.60953578,139.7641074
宇都宮市,92011,城山東小学校,シロヤマヒガシショウガッコウ,栃木県宇都宮市駒生町2360,028-652-0700,1,1,,36.59003052,139.8321898
宇都宮市,92011,宝木小学校,タカラギショウガッコウ,栃木県宇都宮市駒生町3364-29,028-624-0317,,1,,36.58282274,139.8493354
宇都宮市,92011,城山中学校,シロヤマチュウガッコウ,栃木県宇都宮市大谷町1423,028-652-0108,1,1,,36.59253486,139.812729
宇都宮市,92011,城山地区市民センター,シロヤマチクシミンセンター,栃木県宇都宮市大谷町1059-5,028-652-4794,1,1,,36.58908,139.825568
宇都宮市,92011,富屋小学校,トミヤショウガッコウ,栃木県宇都宮市徳次郎町66-１,028-665-0009,1,1,,36.64528429,139.8486223
宇都宮市,92011,晃陽中学校,コウヨウチュウガッコウ,栃木県宇都宮市徳次郎町1964,028-665-0042,1,1,,36.65599328,139.8393331
宇都宮市,92011,富屋地区市民センター,トミヤチクシミンセンター,栃木県宇都宮市徳次郎町80-2,028-665-0002,1,1,,36.64472,139.847495
宇都宮市,92011,篠井小学校,シノイショウガッコウ,栃木県宇都宮市下小池町569-37,028-669-2102,1,1,,36.68180228,139.8129978
宇都宮市,92011,篠井地区市民センター,シノイチクシミンセンター,栃木県宇都宮市下小池町466-１,028-669-2101,1,1,,36.68026219,139.8110796
宇都宮市,92011,姿川中央小学校,スガタガワチュウオウショウガッコウ,栃木県宇都宮市下砥上町121,028-658-2397,1,1,,36.52771717,139.8416317
宇都宮市,92011,姿川第一小学校,スガタガワダイイチショウガッコウ,栃木県宇都宮市西川田本町3-11-15,028-658-0419,1,1,,36.51130279,139.8430626
宇都宮市,92011,姿川第二小学校,スガタガワダイニショウガッコウ,栃木県宇都宮市砥上町52,028-648-3429,1,1,,36.54463084,139.8468557
宇都宮市,92011,姿川中学校,スガタガワチュウガッコウ,栃木県宇都宮市西川田町1038,028-658-2203,1,1,,36.53611653,139.8567218
宇都宮市,92011,姿川地区市民センター,スガタガワチクシミンセンター,栃木県宇都宮市西川田町805-1,028-658-1594,1,1,,36.53594838,139.8544652
宇都宮市,92011,雀宮中央小学校,スズメノミヤチュウオウショウガッコウ,栃木県宇都宮市雀の宮3-10-13,028-653-0005,1,1,,36.49190466,139.8742394
宇都宮市,92011,雀宮東小学校,スズメノミヤヒガシショウガッコウ,栃木県宇都宮市下反町町256-１,028-653-0059,,1,,36.48569574,139.8877191
宇都宮市,92011,雀宮南小学校,スズメノミヤミナミショウガッコウ,栃木県宇都宮市南町3-3,028-654-0049,1,1,,36.48203607,139.8657778
宇都宮市,92011,五代小学校,ゴダイショウガッコウ,栃木県宇都宮市五代2-22-33,028-653-8531,1,1,,36.49580971,139.8645233
宇都宮市,92011,新田小学校,シンデンショウガッコウ,栃木県宇都宮市針ケ谷1-18-21,028-653-5288,1,1,,36.49437719,139.8522078
宇都宮市,92011,雀宮中学校,スズメノミヤチュウガッコウ,栃木県宇都宮市雀の宮7-28-16,028-653-0379,1,1,,36.48794609,139.8629277
宇都宮市,92011,若松原中学校,ワカマツハラチュウガッコウ,栃木県宇都宮市若松原3-19-27,028-655-0679,1,1,,36.49978133,139.8630781
宇都宮市,92011,雀宮地区市民センター,スズメノミヤチクシミンセンター,栃木県宇都宮市新富町9-4,028-654-1013,1,1,,36.48619098,139.8733724
宇都宮市,92011,雀宮南地区学習等併用施設,スズメノミヤミナミチクガクシュウトウヘイヨウシセツ,栃木県宇都宮市南町6-3,028-653-6396,1,1,,36.48250263,139.8643887
宇都宮市,92011,雀宮体育館,スズメノミヤタイイクカン,栃木県宇都宮市南町6-3,028-655-0058,1,1,,36.48214,139.864889
宇都宮市,92011,上河内東小学校,カミカワチヒガシショウガッコウ,栃木県宇都宮市下小倉町1302,028-674-2106,,1,,36.68892218,139.9141779
宇都宮市,92011,上河内西小学校,カミカワチニシショウガッコウ,栃木県宇都宮市関白町471,028-674-2011,1,1,,36.68389369,139.8883297
宇都宮市,92011,上河内中学校,カミカワチチュウガッコウ,栃木県宇都宮市中里町162,028-674-2108,1,1,,36.68422247,139.9019909
宇都宮市,92011,上河内中央小学校,カミカワチチュウオウショウガッコウ,栃木県宇都宮市中里町201-1,028-674-2018,1,1,,36.68182775,139.9028721
宇都宮市,92011,上河内体育館,カミカワチタイイクカン,栃木県宇都宮市中里町182-1,028-674-3290,1,1,,36.68177688,139.9016183
